Feature,Category,Correlation with Price,Record Count
manufacturer,acura,-0.00839,1972
manufacturer,alfa-romeo,0.02541,174
manufacturer,aston-martin,0.03271,15
manufacturer,audi,0.03795,2779
manufacturer,bmw,0.02255,5713
manufacturer,buick,-0.0381,2152
manufacturer,cadillac,0.01487,2647
manufacturer,chevrolet,0.01959,21152
manufacturer,chrysler,-0.06341,2761
manufacturer,datsun,-0.00033,12
manufacturer,dodge,-0.02391,5256
manufacturer,ferrari,0.06523,22
manufacturer,fiat,-0.02124,316
manufacturer,ford,0.07349,27862
manufacturer,gmc,0.08379,6319
manufacturer,harley-davidson,-0.00466,81
manufacturer,honda,-0.10331,10303
manufacturer,hyundai,-0.06656,4578
manufacturer,infiniti,0.0089,1643
manufacturer,jaguar,0.01111,531
manufacturer,jeep,0.03389,7892
manufacturer,kia,-0.04924,3637
manufacturer,land rover,-0.00045,10
manufacturer,lexus,0.01271,3407
manufacturer,lincoln,-0.00511,1411
manufacturer,mazda,-0.04992,2246
manufacturer,mercedes-benz,0.05075,4772
manufacturer,mercury,-0.04867,524
manufacturer,mini,-0.02517,1039
manufacturer,mitsubishi,-0.02943,1142
manufacturer,morgan,-0.00264,1
manufacturer,nissan,-0.07545,8519
manufacturer,pontiac,-0.05686,981
manufacturer,porsche,0.07841,633
manufacturer,ram,0.15922,6221
manufacturer,rover,0.06975,964
manufacturer,saturn,-0.04998,550
manufacturer,subaru,-0.03815,4588
manufacturer,tesla,0.0762,229
manufacturer,toyota,-0.04514,15607
manufacturer,volkswagen,-0.05194,3745
manufacturer,volvo,-0.0182,1337
condition,excellent,-0.08168,48796
condition,fair,-0.12453,3107
condition,good,-0.08627,38301
condition,like new,0.06333,11359
condition,new,0.06858,623
condition,salvage,-0.02102,67
cylinders,10 cylinders,0.01547,478
cylinders,12 cylinders,0.03347,98
cylinders,3 cylinders,-0.01171,322
cylinders,4 cylinders,-0.21048,39646
cylinders,5 cylinders,-0.04813,985
cylinders,6 cylinders,-0.0378,39896
cylinders,8 cylinders,0.13801,27600
cylinders,other,0.01722,483
fuel,diesel,0.26267,10303
fuel,electric,0.03179,673
fuel,gas,-0.25953,149864
fuel,hybrid,-0.02694,2272
fuel,other,0.11317,6914
transmission,automatic,-0.07785,149678
transmission,manual,-0.04911,10610
transmission,other,0.15532,9943
drive,4wd,0.24713,54978
drive,fwd,-0.25201,49365
drive,rwd,0.03807,22672
paint_color,black,0.07109,25688
paint_color,blue,-0.04312,13321
paint_color,brown,-0.02772,2928
paint_color,custom,-0.00679,3710
paint_color,green,-0.05816,3276
paint_color,grey,-0.0322,12765
paint_color,orange,0.00609,697
paint_color,purple,-0.01158,307
paint_color,red,-0.01319,12254
paint_color,silver,-0.05537,19486
paint_color,white,0.10143,31860
paint_color,yellow,-0.00096,869
type,SUV,-0.00229,35692
type,bus,-0.00703,233
type,convertible,0.00296,3248
type,coupe,0.03484,6316
type,hatchback,-0.06395,6327
type,mini-van,-0.06463,2642
type,offroad,0.0039,313
type,other,0.07686,5799
type,pickup,0.19081,13745
type,sedan,-0.16887,37301
type,truck,0.17317,13186
type,van,-0.00103,3497
type,wagon,-0.04241,4609
state,ak,0.05858,1767
state,al,0.03245,2845
state,ar,0.02368,1751
state,az,0.02819,5558
state,ca,0.02063,21785
state,co,0.01703,6618
state,ct,-0.02891,2608
state,dc,-0.01727,1836
state,de,-0.02002,458
state,fl,-0.00459,12689
state,ga,-0.00296,2666
state,hi,0.05027,1721
state,ia,-0.01701,3778
state,id,0.06524,4778
state,il,-0.02557,5213
state,in,-0.0153,2336
state,ks,-0.02111,2575
state,ky,-0.01122,1501
state,la,0.0094,1002
state,ma,-0.02484,3167
state,md,-0.01139,1772
state,me,-0.00625,1528
state,mi,-0.03353,5522
state,mn,-0.02447,3820
state,mo,-0.00479,1076
state,ms,-0.01146,375
state,mt,0.02626,1844
state,nc,-0.0108,4574
state,nd,-0.00283,137
state,ne,0.00453,454
state,nh,-0.01176,849
state,nj,-0.02585,4921
state,nm,0.01799,1323
state,nv,0.00747,1489
state,ny,-0.02809,6789
state,oh,-0.05957,6212
state,ok,-0.01044,1981
state,or,0.03379,6031
state,pa,-0.04948,4066
state,ri,-0.01533,653
state,sc,-0.00478,1592
state,sd,0.01015,532
state,tn,0.00614,3664
state,tx,0.05208,9235
state,ut,0.01873,296
state,va,-0.04886,3077
state,vt,-0.00023,946
state,wa,0.07378,4798
state,wi,-0.03451,4570
state,wv,-0.00718,128
state,wy,-0.00192,102
